Date,Time,Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],CPU (Tctl/Tdie) [°C],CPU SOC [°C],APU GFX [°C],Core Temperatures (avg) [°C],Core0 [°C],Core1 [°C],Core2 [°C],Core3 [°C],L3 Cache [°C],CPU Core Voltage (SVI2 TFN) [V],SoC Voltage (SVI2 TFN) [V],CPU Core VID (Effective) [V],CPU Core Current (SVI2 TFN) [A],SoC Current (SVI2 TFN) [A],CPU TDC [A],CPU Package Power [W],Core Powers (avg) [W],Core 0 Power [W],Core 1 Power [W],Core 2 Power [W],Core 3 Power [W],CPU Core Power (SVI2 TFN) [W],CPU SoC Power (SVI2 TFN) [W],Core+SoC Power (SVI2 TFN) [W],APU STAPM [W],Motherboard [°C],CPU [°C],AUXTIN2 [°C],CPU (PECI) [°C],Vcore [V],VIN1 [V],+3.3V (AVCC) [V],+3.3V (3VCC) [V],+12V [V],VCOREREFIN [V],VIN4 [V],3VSB [V],VBAT [V],VIN5 [V],VIN6 [V],+5V [V],VIN3 [V],VIN7 [V],CPU1 [RPM],Drive Airflow Temperature [°C],Drive Temperature [°C],GPU Temperature [°C],GPU Core Voltage (VDDCR_GFX) [V],Unnamed: 55
4.11.2025,15:39:10.610,0.947,0.988,0.988,0.988,0.825,43.2,41.9,38.8,40.2,40.3,40.3,40.4,39.9,40.6,0.914,1.025,1.375,5.63,3.364,5.649,5.54,0.635,1.024,0.518,0.526,0.472,6.779,3.465,10.244,10.256,36.0,43.5,24.0,40.0,0.336,0.368,3.392,3.392,12.091,1.008,0.304,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1632,39,36,36.0,0.723,
4.11.2025,15:40:10.611,0.852,0.988,0.806,0.806,0.806,40.2,40.5,38.2,38.0,37.8,38.1,38.0,37.9,38.4,0.675,1.015,1.375,2.581,2.699,2.611,3.279,0.13,0.18,0.099,0.087,0.153,2.811,2.743,5.554,10.619,36.0,40.2,24.0,40.0,0.688,0.368,3.392,3.392,12.091,1.016,0.304,3.408,3.216,0.224,1.032,5.112,1.032,1.784,1605,39,36,37.0,0.723,
4.11.2025,15:41:10.609,0.852,0.988,0.806,0.806,0.806,40.2,40.5,38.2,38.0,37.8,38.1,38.0,37.9,38.4,0.675,1.015,1.375,2.581,2.699,2.611,3.279,0.13,0.18,0.099,0.087,0.153,2.811,2.743,5.554,10.619,36.0,40.2,24.0,40.0,0.544,0.368,3.392,3.376,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.112,1.032,1.784,1609,39,35,35.0,0.723,
4.11.2025,15:42:10.609,1.106,0.812,0.812,1.4,1.4,48.5,38.9,36.8,36.0,35.9,35.9,36.1,35.9,36.6,0.55,1.013,1.431,1.659,2.467,1.658,2.563,0.043,0.084,0.022,0.029,0.037,1.63,2.5,4.13,8.6,36.0,39.2,24.0,40.0,0.256,0.352,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.112,1.032,1.784,1636,39,35,37.0,0.723,
4.11.2025,15:43:10.605,1.184,1.363,0.988,0.988,1.4,39.1,38.3,36.2,35.2,35.1,35.2,35.3,35.2,35.9,0.538,1.013,1.444,1.592,2.448,1.586,2.511,0.037,0.065,0.024,0.031,0.028,1.549,2.482,4.031,7.289,36.0,39.2,24.0,40.0,0.816,0.352,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.088,1.032,1.776,1632,39,35,33.0,0.723,
4.11.2025,15:44:10.606,0.869,0.812,0.812,0.812,1.038,38.8,38.0,35.7,34.9,34.8,34.9,35.0,35.0,35.6,0.553,1.013,1.444,1.691,2.468,1.694,2.583,0.044,0.068,0.031,0.04,0.035,1.671,2.501,4.173,6.61,36.0,38.8,24.0,40.0,0.304,0.344,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.088,1.032,1.776,1634,39,35,34.0,0.723,
4.11.2025,15:45:10.608,1.284,1.387,1.375,1.387,0.988,38.4,37.8,35.5,34.8,34.6,34.7,34.8,34.8,35.4,0.562,1.013,1.369,1.718,2.466,1.722,2.595,0.039,0.06,0.031,0.032,0.033,1.683,2.5,4.182,6.292,36.0,38.5,24.0,40.0,0.304,0.352,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.088,1.032,1.776,1632,39,35,33.0,0.723,
4.11.2025,15:46:10.623,1.028,1.113,1.0,1.0,1.0,38.5,37.7,35.5,34.7,34.6,34.6,34.8,34.8,35.3,0.536,1.013,1.363,1.584,2.44,1.583,2.498,0.034,0.057,0.02,0.03,0.031,1.534,2.473,4.007,6.005,36.0,38.5,24.0,40.0,0.304,0.368,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.088,1.032,1.784,1634,39,35,36.0,0.723,
4.11.2025,15:47:10.628,1.25,1.375,1.137,1.137,1.35,38.5,37.7,35.5,34.7,34.6,34.6,34.8,34.7,35.3,0.529,1.013,1.431,1.552,2.448,1.551,2.481,0.033,0.053,0.02,0.036,0.024,1.499,2.482,3.98,5.821,36.0,38.5,24.0,40.0,0.208,0.352,3.392,3.392,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.088,1.032,1.784,1632,39,35,33.0,0.723,
4.11.2025,15:48:9.450,1.178,1.369,1.175,0.994,1.175,38.5,37.6,35.3,34.6,34.5,34.5,34.7,34.6,35.2,0.538,1.013,1.431,1.588,2.447,1.586,2.505,0.035,0.056,0.023,0.032,0.028,1.541,2.48,4.021,5.741,36.0,38.6,24.0,40.0,0.688,0.376,3.376,3.376,12.091,1.008,0.304,3.408,3.216,0.224,1.032,5.112,1.032,1.784,1609,39,35,36.0,0.723,
