Date,Time,"Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","CPU (Tctl/Tdie) [°C]","CPU SOC [°C]","APU GFX [°C]","Core Temperatures (avg) [°C]","Core0 [°C]","Core1 [°C]","Core2 [°C]","Core3 [°C]","L3 Cache [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU Package Power [W]","Core Powers (avg) [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","CPU Core Power (SVI2 TFN) [W]","CPU SoC Power (SVI2 TFN) [W]","Core+SoC Power (SVI2 TFN) [W]","APU STAPM [W]","Motherboard [°C]","CPU [°C]","AUXTIN2 [°C]","CPU (PECI) [°C]","Vcore [V]","VIN1 [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VIN5 [V]","VIN6 [V]","+5V [V]","VIN3 [V]","VIN7 [V]","CPU1 [RPM]","Drive Airflow Temperature [°C]","Drive Temperature [°C]","GPU Temperature [°C]","GPU Core Voltage (VDDCR_GFX) [V]",
7.11.2025,18:20:56.922,1.312,1.363,1.188,1.350,1.350,52.6,47.4,44.2,48.1,46.8,50.8,47.4,47.3,47.9,1.298,1.088,1.387,11.167,4.926,10.174,10.194,1.427,1.517,2.302,1.014,0.875,14.692,5.358,20.049,12.507,37.0,43.6,24.0,40.0,1.360,0.392,3.376,3.376,12.091,1.088,0.312,3.408,3.232,0.224,1.032,5.088,1.032,1.784,1607,40,38,43.0,0.727,
7.11.2025,18:21:56.919,1.102,1.406,1.000,1.000,1.000,43.6,43.9,41.2,41.3,41.3,41.0,41.7,41.0,41.5,0.739,1.090,1.406,2.752,4.173,2.886,4.198,0.111,0.169,0.107,0.084,0.083,2.878,4.549,7.427,11.904,37.0,43.6,24.0,40.0,0.320,0.376,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1636,40,37,40.0,0.727,
7.11.2025,18:22:56.928,1.138,1.438,1.038,1.038,1.038,44.5,44.6,41.5,42.2,42.3,42.0,42.7,41.8,42.8,0.963,1.089,1.469,4.936,4.550,4.929,5.801,0.397,0.580,0.346,0.386,0.276,5.656,4.957,10.613,11.555,37.0,44.5,24.0,40.0,0.704,0.376,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1609,40,37,41.0,0.722,
7.11.2025,18:23:56.950,1.419,1.438,1.406,1.400,1.431,43.0,42.8,40.0,40.3,40.4,40.2,40.8,39.9,40.3,0.738,1.091,1.456,2.562,4.090,2.564,4.042,0.069,0.102,0.055,0.053,0.065,2.603,4.461,7.064,11.295,37.0,42.2,24.0,40.0,0.720,0.360,3.392,3.392,12.091,1.088,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1607,40,37,37.0,0.723,
7.11.2025,18:24:56.960,1.228,1.262,1.000,1.262,1.387,42.2,41.8,39.1,39.3,39.4,39.3,39.8,38.9,39.4,0.736,1.091,1.463,2.516,4.087,2.524,4.009,0.059,0.082,0.046,0.049,0.059,2.533,4.458,6.991,10.275,37.0,42.5,24.0,40.0,0.544,0.360,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1605,40,37,37.0,0.723,
7.11.2025,18:25:56.975,1.109,1.013,1.013,1.013,1.400,42.5,41.4,38.7,38.9,38.9,38.8,39.3,38.4,38.9,0.739,1.091,1.469,2.528,4.090,2.524,4.021,0.061,0.088,0.049,0.053,0.053,2.552,4.461,7.013,9.741,37.0,42.8,24.0,40.0,0.752,0.384,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1605,40,37,37.0,0.723,
7.11.2025,18:26:56.981,1.058,1.000,0.812,1.019,1.400,42.8,41.4,38.6,38.9,38.9,38.9,39.3,38.5,39.0,0.751,1.091,1.450,2.873,4.104,2.872,4.261,0.132,0.197,0.089,0.106,0.135,3.064,4.477,7.541,9.449,37.0,41.5,24.0,40.0,0.688,0.384,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1636,40,37,39.0,0.723,
7.11.2025,18:27:56.990,0.869,1.000,0.825,0.825,0.825,52.0,41.5,38.7,39.0,39.1,39.0,39.3,38.5,39.1,0.769,1.091,1.463,2.839,4.109,2.840,4.240,0.108,0.194,0.088,0.069,0.081,2.977,4.482,7.459,9.705,37.0,41.4,24.0,40.0,0.560,0.384,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.032,5.088,1.032,1.784,1612,40,37,36.0,0.723,
7.11.2025,18:28:57.005,1.069,0.812,0.812,0.812,0.812,41.4,41.1,38.4,38.4,38.4,38.4,38.8,37.9,38.5,0.731,1.091,1.469,2.491,4.081,2.490,3.990,0.058,0.083,0.048,0.044,0.059,2.505,4.451,6.956,9.409,37.0,41.1,24.0,40.0,0.656,0.384,3.392,3.392,12.091,1.088,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1607,40,37,36.0,0.723,
7.11.2025,18:29:57.017,0.812,1.000,0.812,0.812,1.013,41.1,40.9,38.2,38.2,38.2,38.2,38.6,37.7,38.3,0.727,1.091,1.469,2.466,4.076,2.472,3.969,0.058,0.095,0.045,0.046,0.047,2.469,4.446,6.915,9.217,37.0,41.2,24.0,40.0,0.688,0.360,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1609,40,37,36.0,0.723,
7.11.2025,18:30:57.016,0.909,0.812,0.812,0.812,0.812,41.2,40.9,38.3,38.1,38.1,38.1,38.4,37.7,38.3,0.724,1.091,1.469,2.464,4.081,2.466,3.971,0.058,0.087,0.046,0.044,0.056,2.477,4.451,6.927,9.111,37.0,41.1,24.0,40.0,0.672,0.360,3.392,3.376,12.091,1.088,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1607,40,37,36.0,0.723,
7.11.2025,18:31:57.032,1.202,1.400,1.000,1.031,1.375,41.5,40.9,38.3,38.2,38.1,38.2,38.5,37.8,38.3,0.736,1.091,1.406,2.534,4.084,2.535,4.019,0.062,0.086,0.045,0.051,0.064,2.560,4.455,7.014,9.051,37.0,41.5,24.0,40.0,0.384,0.376,3.392,3.392,12.091,1.088,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1605,40,37,37.0,0.723,
7.11.2025,18:32:57.037,1.330,1.438,1.438,1.013,1.431,41.2,41.1,38.4,38.4,38.3,38.4,38.7,38.2,38.6,0.765,1.091,1.438,2.829,4.092,2.830,4.232,0.098,0.106,0.065,0.079,0.142,2.986,4.464,7.450,9.188,37.0,41.2,24.0,40.0,0.624,0.376,3.392,3.392,12.091,1.088,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1607,40,37,39.0,0.723,
7.11.2025,18:33:57.047,1.320,1.013,1.438,1.394,1.438,41.5,40.9,38.3,38.1,38.1,38.1,38.4,37.7,38.3,0.728,1.091,1.413,2.469,4.069,2.467,3.969,0.058,0.093,0.046,0.047,0.047,2.475,4.438,6.913,9.185,37.0,41.5,24.0,40.0,0.784,0.384,3.392,3.392,12.091,1.088,0.312,3.408,3.216,0.224,1.032,5.088,1.032,1.784,1607,40,37,37.0,0.723,
7.11.2025,18:34:57.036,1.320,1.013,1.438,1.394,1.438,41.5,40.9,38.3,38.1,38.1,38.1,38.4,37.7,38.3,0.728,1.091,1.413,2.469,4.069,2.467,3.969,0.058,0.093,0.046,0.047,0.047,2.475,4.438,6.913,9.185,37.0,41.5,24.0,40.0,0.672,0.384,3.392,3.392,12.091,1.096,0.312,3.408,3.232,0.224,1.032,5.112,1.032,1.784,1634,40,37,36.0,0.723,
7.11.2025,18:35:57.046,1.087,1.387,0.988,0.988,0.988,41.5,40.9,38.3,38.0,38.0,38.0,38.3,37.7,38.3,0.732,1.091,1.400,2.493,4.072,2.504,3.991,0.063,0.103,0.047,0.049,0.055,2.516,4.442,6.958,9.100,37.0,41.2,24.0,40.0,0.992,0.384,3.392,3.392,12.091,1.088,0.312,3.408,3.232,0.224,1.040,5.112,1.032,1.784,1607,40,37,36.0,0.723,
