cpu_usage,memory_usage,running_processes,battery_percent,timestamp,suggestions
1.4,40.6,194,,2025-11-07 16:17:24,System already optimized! Great job 
0.2,40.6,194,,2025-11-07 16:17:36,System already optimized! Great job 
0.4,40.6,193,,2025-11-07 16:17:47,System already optimized! Great job 
3.3,41.0,197,,2025-11-07 16:17:58,System already optimized! Great job 
13.3,41.2,197,,2025-11-07 16:18:09,System already optimized! Great job 
1.0,41.1,197,,2025-11-07 16:18:20,System already optimized! Great job 
1.0,41.0,197,,2025-11-07 16:18:31,System already optimized! Great job 
0.6,41.0,197,,2025-11-07 16:18:42,System already optimized! Great job 
0.0,41.0,196,,2025-11-07 16:18:54,System already optimized! Great job 
0.2,41.0,196,,2025-11-07 16:19:05,System already optimized! Great job 
0.2,41.0,196,,2025-11-07 16:19:16,System already optimized! Great job 
0.4,40.9,196,,2025-11-07 16:19:27,System already optimized! Great job 
0.4,40.9,196,,2025-11-07 16:19:38,System already optimized! Great job 
0.8,41.0,197,,2025-11-07 16:19:49,System already optimized! Great job 
0.2,41.0,195,,2025-11-07 16:20:00,System already optimized! Great job 
1.4,40.9,195,,2025-11-07 16:20:12,System already optimized! Great job 
4.1,41.1,196,,2025-11-07 16:20:23,System already optimized! Great job 
2.9,41.4,196,,2025-11-07 16:20:34,System already optimized! Great job 
1.6,41.4,196,,2025-11-07 16:20:45,System already optimized! Great job 
0.0,41.4,197,,2025-11-07 16:20:56,System already optimized! Great job 
5.8,41.4,197,,2025-11-07 16:21:07,System already optimized! Great job 
0.2,41.4,197,,2025-11-07 16:21:18,System already optimized! Great job 
0.4,41.6,199,,2025-11-07 16:21:29,System already optimized! Great job 
27.7,42.1,202,,2025-11-07 16:21:40,Too many processes running — consider disabling startup programs.
2.5,41.9,201,,2025-11-07 16:21:52,Too many processes running — consider disabling startup programs.
0.6,41.9,200,,2025-11-07 16:22:03,System already optimized! Great job 
8.6,42.1,201,,2025-11-07 16:22:14,Too many processes running — consider disabling startup programs.
23.4,42.6,201,,2025-11-07 16:22:25,Too many processes running — consider disabling startup programs.
11.8,43.7,206,,2025-11-07 16:22:36,Too many processes running — consider disabling startup programs.
1.0,43.4,201,,2025-11-07 16:22:47,Too many processes running — consider disabling startup programs.
7.9,44.0,207,,2025-11-07 16:22:58,Too many processes running — consider disabling startup programs.
71.4,46.6,218,,2025-11-07 16:23:09,"Close heavy CPU-consuming apps (e.g., Chrome, VS Code, etc.).; Too many processes running — consider disabling startup programs."
5.2,44.7,211,,2025-11-07 16:23:21,Too many processes running — consider disabling startup programs.
0.8,44.6,210,,2025-11-07 16:23:32,Too many processes running — consider disabling startup programs.
0.4,44.5,210,,2025-11-07 16:23:43,Too many processes running — consider disabling startup programs.
10.1,44.8,212,,2025-11-07 16:23:54,Too many processes running — consider disabling startup programs.
4.7,44.7,211,,2025-11-07 16:24:05,Too many processes running — consider disabling startup programs.
4.9,43.9,209,,2025-11-07 16:24:16,Too many processes running — consider disabling startup programs.
7.8,44.9,212,,2025-11-07 16:24:27,Too many processes running — consider disabling startup programs.
21.2,46.9,222,,2025-11-07 16:24:39,Too many processes running — consider disabling startup programs.
14.2,47.8,225,,2025-11-07 16:24:50,Too many processes running — consider disabling startup programs.
4.9,47.9,226,,2025-11-07 16:25:01,Too many processes running — consider disabling startup programs.
3.1,47.8,226,,2025-11-07 16:25:12,Too many processes running — consider disabling startup programs.
2.5,47.6,224,,2025-11-07 16:25:23,Too many processes running — consider disabling startup programs.
2.8,47.5,224,,2025-11-07 16:25:34,Too many processes running — consider disabling startup programs.
2.3,47.5,224,,2025-11-07 16:25:45,Too many processes running — consider disabling startup programs.
13.0,48.2,226,,2025-11-07 16:25:56,Too many processes running — consider disabling startup programs.
0.8,47.9,225,,2025-11-07 16:26:08,Too many processes running — consider disabling startup programs.
7.8,47.9,226,,2025-11-07 16:26:20,Too many processes running — consider disabling startup programs.; Brightness reduced from 100% to 50% to save power.
5.4,47.9,225,,2025-11-07 16:26:31,Too many processes running — consider disabling startup programs.
1.2,47.7,225,,2025-11-07 16:26:42,Too many processes running — consider disabling startup programs.
0.8,47.7,224,,2025-11-07 16:26:53,Too many processes running — consider disabling startup programs.
0.8,47.6,224,,2025-11-07 16:27:04,Too many processes running — consider disabling startup programs.
0.4,47.6,224,,2025-11-07 16:27:15,Too many processes running — consider disabling startup programs.
1.2,47.6,223,,2025-11-07 16:27:26,Too many processes running — consider disabling startup programs.
1.2,47.6,223,,2025-11-07 16:27:37,Too many processes running — consider disabling startup programs.
1.4,47.5,223,,2025-11-07 16:27:49,Too many processes running — consider disabling startup programs.
1.6,47.5,220,,2025-11-07 16:28:00,Too many processes running — consider disabling startup programs.
0.6,47.5,220,,2025-11-07 16:28:11,Too many processes running — consider disabling startup programs.
